"","Total_Score","Liked_By_Members","Quality_Of_Life_Score","Family_Score","Community_Score","Cost","Internet","Fun","Humidity_now","Air_Quality_Now","Air_Quality_Annual","Safety","Food_Safety","Lack_Of_Crime","Lack_Of_Racism","Education_Level","Power_Grid","Vulnerability_To_Climate_Change","Income_Level","English_Speaking","People_Density","Walkability","Peace","Traffic_Safety","Hospitals","Happiness","Nightlife","Free_Wifi_In_City","Places_To_Work_From","AC_Or_Heating","Friendly_To_Foreigners","Freedom_Of_Speech","Female_Friendly","LGBTQ_Friendly","Startup_Score","City","Rank","Unliked_By_Members","Temperature_now_celcius","Temperature_now_Farenheight","Temperature_now_Feels_Like_Celcius","Temperature_now_Feels_Like_Farenheight"
"47",3.57,100,"Okay","Okay","Okay","868 ",15,"Bad",75,NA,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",NA,"Bad","Okay","Bad",NA,"Okay","Bad","Bad","Okay","Bad","Okay","Okay","Bad","Bad","Bad","senggigi",47,0,29,83,33,91
"48",3.55,82,"Good","Good","Okay","1,850 ",80,"Good",82,NA,NA,"Great","Great","Great","Okay","High","Great","Good","2,225 ","Bad",NA,"Great","Okay","Okay",NA,"Bad","Good","Bad","Okay","Bad","Good","Good","Good","Great","Okay","gran-canaria",48,18,21,70,21,70
"49",3.55,100,"Good","Okay","Okay","1,920 ",44,"Okay",42,NA,38,"Okay","Great","Bad","Okay","Mediocre","Great","Great","704 ","Bad",NA,"Great","Bad","Okay",NA,"Bad","Okay","","Great","Bad","Great","Okay","Okay","Great","Bad","oaxaca",49,0,29,84,29,84
"50",3.55,100,"Okay","Okay","Okay","1,081 ",15,"Bad",25,104,85,"Good","Good","Good","Okay","Low","Very bad","Good","142 ","Okay",9,"Great","Bad","Bad","Great","Bad","Okay","Bad","Great","Bad","Good","Okay","Okay","Bad","Bad","hyderabad",50,0,37,99,37,99
"51",3.54,100,"Okay","Okay","Okay","2,109 ",16,"Good",38,NA,NA,"Okay","Great","Bad","Okay","Mediocre","Great","Great","704 ","Bad",NA,"Great","Bad","Okay",NA,"Bad","Bad","Okay","Great","Okay","Great","Okay","Okay","Great","Bad","queretaro",51,0,30,86,30,86
"52",3.54,75,"Good","Okay","Good","4,971 ",81,"Great",71,50,22,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Okay",16,"Great","Okay","Okay","Great","Bad","Great","Okay","Great","Bad","Okay","Good","Okay","Great","Okay","barcelona",52,25,16,61,16,61
"53",3.54,42,"Good","Good","Good","3,811 ",123,"Great",83,40,31,"Great","Great","Great","Good","Mediocre","Great","Good","1,646 ","Great",6,"Great","Good","Okay","Bad","Bad","Good","Okay","Great","Okay","","Great","Okay","Great","Okay","lisbon",53,58,21,71,21,70
"54",3.54,100,"Good","Good","Okay","4,495 ",78,"Bad",82,42,40,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",5,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Okay","Okay","Good","Okay","Great","Okay","chicago",54,0,17,63,17,63
"55",3.52,100,"Good","Good","Okay","4,261 ",29,"Okay",71,NA,32,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",NA,"Great","Okay","Okay",NA,"Bad","Okay","Great","Great","Good","Great","Good","Good","Great","Okay","newcastle-upon-tyne",55,0,7,45,5,41
"56",3.5,77,"Okay","Okay","Good","1,864 ",37,"Okay",53,83,110,"Good","Great","Good","Bad","Mediocre",NA,"Good","905 ","Bad",10,"Great","Bad","Okay","Great","Okay","Great","Okay","Great","Okay","Okay","Okay","Bad","Okay","Bad","istanbul",56,23,21,70,21,70
"57",3.49,100,"Good","Okay","Okay","3,190 ",30,"Okay",51,36,50,"Good","Great","Good","Okay","High","Great","Good","3,069 ","Okay",5,"Okay","Okay","Okay","Great","Bad","Okay","Okay","Great","Good","Okay","Good","Okay","Great","Bad","montpellier",57,0,16,60,15,59
"58",3.48,100,"Okay","Okay","Okay","2,154 ",17,"Okay",39,NA,60,"Bad","Great","Bad",NA,"Mediocre","Great","Great","704 ","Bad",4,"Great","Bad","Okay","Great","Bad","Okay","Bad","Great","Great","Great","Okay","Okay","Great","Bad","monterrey",58,0,34,93,36,97
"59",3.47,100,"Good","Good","Okay","5,117 ",170,"Okay",79,37,24,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",2,"Great","Good","Okay","Great","Great","Okay","Good","Great","Bad","Good","Great","Good","Great","Okay","groningen",59,0,9,48,7,45
"60",3.47,100,"Good","Good","Okay","5,626 ",44,"Good",76,NA,29,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",6,"Great","Good","Okay","Great","Great","Okay","Good","Good","Great","Great","Great","Great","Great","Okay","leiden",60,0,9,49,6,43
"61",3.44,75,"Okay","Okay","Okay","1,356 ",34,"Good",72,NA,145,"Good","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Okay",NA,"Great","Bad","Okay",NA,"Bad","Okay","Bad","Great","Good","Good","Okay","Good","Bad","Okay","cebu",61,25,29,85,33,91
"62",3.43,67,"Good","Okay","Good","1,094 ",50,"Okay",74,82,36,"Good","Good","Good","Okay","Low","Great",NA,"181 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Okay","Good","Great","Good","Good","Bad","Okay","Bad","Okay","da-nang",62,33,29,84,33,91
"63",3.43,75,"Good","Good","Okay","3,072 ",145,"Great",83,NA,32,"Great","Great","Great","Great","Mediocre","Great","Good","1,646 ","Great",NA,"Great","Good","Okay",NA,"Bad","Great","Great","Bad","Great","Great","Great","Great","Great","Okay","ericeira",63,25,18,64,18,64
"64",3.43,80,"Good","Good","Good","2,774 ",52,"Great",95,NA,80,"Okay","Good","Okay","Good","Mediocre","Great","Good","1,268 ","Okay",NA,"Great","Okay","Bad","Great","Bad","Good","Great","Great","Okay","Great","Great","Great","Great","Okay","montevideo",64,20,22,71,22,72
"65",3.41,64,"Okay","Okay","Good","1,599 ",66,"Good",68,NA,42,"Good","Bad","Good","Good","Mediocre","Great","Okay","493 ","Bad",1,"Great","Okay","Bad","Good","Good","Good","Bad","Great","Good","Okay","Okay","Okay","Good","Bad","phuket",65,36,30,86,35,95
"66",3.4,80,"Good","Good","Good","6,406 ",98,"Great",40,NA,27,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",10,"Great","Bad","Okay","Great","Bad","Great","Great","Great","Okay","Great","Good","Good","Great","Good","new-york-city",66,20,20,69,21,70
"67",3.4,81,"Good","Good","Good","4,022 ",90,"Okay",46,57,56,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Bad",5,"Great","Okay","Okay","Great","Bad","Okay","Okay","Great","Great","Good","Good","Good","Great","Okay","madrid",67,19,22,71,22,72
"68",3.38,86,"Okay","Okay","Good","1,059 ",48,"Bad",65,500,95,"Good","Good","Good","Bad","Low","Great",NA,"181 ","Bad",9,"Great","Okay","Bad","Good","Bad","Bad","Bad","Great","Okay","Okay","Bad","Bad","Bad","Bad","hanoi",68,14,33,91,41,106
"69",3.37,78,"Good","Okay","Good","2,188 ",59,"Okay",46,57,84,"Good","Great","Good","Bad","High","Great","Good","622 ","Okay",NA,"Great","Good","Okay","Good","Bad","Good","Great","Great","Great","Good","Good","Okay","Bad","Okay","sofia",69,22,21,70,21,70
"70",3.37,100,"Okay","Okay","Okay","794 ",9,"Bad",40,NA,NA,"Good","Bad","Good","Okay","Mediocre","Great","Bad","235 ","Bad",NA,"Great","Bad","Bad",NA,"Bad","Bad","Bad","Great","Okay","Okay","Okay","Okay","Bad","Bad","dahab",70,0,26,78,26,79
"71",3.37,83,"Okay","Okay","Good","1,171 ",49,"Okay",86,142,141,"Bad","Good","Very bad","Bad","Mediocre","Great","Great","484 ","Bad",17,"Great","Bad","Bad","Great","Bad","Bad","Okay","Great","Bad","Great","Okay","Bad","Great","Bad","bogota",71,17,18,64,18,64
"72",3.33,80,"Good","Okay","Okay","1,362 ",66,"Okay",69,NA,NA,"Good","Bad","Good","Okay","Mediocre","Great","Okay","493 ","Bad",NA,"Bad","Okay","Bad","Bad","Good","Good","Bad","Great","Okay","Great","Okay","Good","Good","Bad","ko-samui",72,20,29,85,32,90
"73",3.32,100,"Good","Good","Okay","4,425 ",75,"Okay",53,100,24,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Bad",5,"Great","Okay","Okay",NA,"Bad","Bad","Okay","Great","Okay","Okay","Good","Good","Great","Okay","seville",73,0,27,81,28,82
"74",3.32,70,"Okay","Okay","Good","1,460 ",51,"Good",95,139,110,"Bad","Good","Very bad","Bad","Mediocre","Great","Great","484 ","Bad",NA,"Great","Bad","Bad","Good","Bad","Good","Bad","Great","Bad","Okay","Okay","Bad","Great","Bad","medellin",74,30,23,74,23,73
"75",3.32,100,"Good","Good","Okay","5,745 ",32,"Okay",72,NA,39,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",NA,"Great","Okay","Okay","Great","Bad","Okay","Okay","Bad",NA,NA,"Good","Good","Great","Okay","bath",75,0,9,49,7,45
"76",3.31,83,"Okay","Okay","Okay","2,755 ",36,"Great",26,NA,NA,"Good","Good","Good","Okay","Low","Great","Good","245 ","Bad",NA,"Great","Okay","Bad","Good","Bad","Good","Okay","Great","Okay","Good","Okay","Bad","Bad","Okay","marrakesh",76,17,30,86,28,82
"77",3.27,67,"Good","Good","Good","3,225 ",101,"Good",89,25,9,"Good","Great","Good","Good","High","Great","Great","4,224 ","Great",5,"Great","Good","Okay","Great","Great","Good","Bad","Great","Okay","Good","Great","Great","Great","Okay","stockholm",77,33,2,36,0,32
"78",3.26,75,"Good","Okay","Good","2,956 ",17,"Good",45,28,62,"Good","Good","Good","Okay","High","Great","Okay","1,969 ","Good",NA,"Okay","Okay","Okay","Okay","Okay","Good","Bad","Great","Good","Okay","Good","Good","Okay","Okay","paphos",78,25,22,72,22,72
"79",3.25,100,"Good","Good","Okay","4,253 ",33,"Okay",58,NA,24,"Good","Great","Good","Great","High","Great","Great","3,513 ","Okay",NA,"Great","Good","Okay",NA,"Okay","Bad","Okay","Great","Great","Good","Great","Great","Great","Okay","quebec-city",79,0,13,56,13,55
"80",3.25,62,"Okay","Bad","Good","1,059 ",45,"Good",51,NA,69,"Good","Good","Good","Bad","Low","Great",NA,"181 ","Bad",9,"Great","Okay","Bad","Good","Bad","Good","Okay","Great","Okay","Okay","Bad","Okay","Bad","Bad","ho-chi-minh-city",80,38,36,98,44,111
"81",3.25,100,"Good","Good","Okay","5,802 ",33,"Okay",66,42,57,"Great","Good","Great","Great","High","Great","Good","5,081 ","Good",NA,"Okay","Great","Okay","Great","Great","Okay","Great","Great","Great","Good","Great","Great","Great","Okay","reykjavik",81,0,2,35,-1,30
"82",3.24,67,"Good","Okay","Okay","2,101 ",46,"Okay",59,NA,8,"Good","Great","Good","Bad","High","Great","Good","787 ","Good",NA,"Great","Good","Okay",NA,"Okay","Okay","Okay","Great","Okay","Great","Good","Okay","Bad","Okay","cluj",82,33,20,68,21,70
"83",3.21,80,"Good","Okay","Good","2,518 ",44,"Okay",78,NA,91,"Okay","Good","Bad","Good","Mediocre","Great","Good","1,140 ","Bad",NA,"Great","Okay","Okay","Okay","Bad","Good","Great","Great","Great","Great","Good","Okay","Okay","Bad","panama-city",83,20,32,89,43,109
"84",3.18,69,"Good","Good","Good","4,293 ",55,"Good",80,NA,54,"Great","Good","Great","Good","High","Great","Very bad","4,401 ","Great",11,"Great","Good","Okay","Great","Bad","Okay","Okay","Great","Great","Okay","Okay","Great","Bad","Okay","singapore",84,31,28,83,32,90
"85",3.17,71,"Okay","Okay","Okay","976 ",7,"Great",28,180,86,"Good","Okay","Good",NA,"Low","Bad","Bad","60 ","Okay",NA,"Great","Okay","Bad","Okay","Bad","Bad","Bad","Great","Bad","Great","Good","Okay","Okay","Okay","kathmandu",85,29,27,80,26,79
"86",3.17,75,"Good","Okay","Good","3,271 ",109,"Okay",52,42,22,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Bad",NA,"Great","Okay","Okay","Okay","Bad","Okay","Bad","Great","Great","Great","Good","Good","Great","Okay","malaga",86,25,25,77,25,77
"87",3.16,80,"Good","Okay","Okay","1,637 ",25,"Good",52,107,61,"Great","Good","Great","Okay","High","Great","Okay","2,048 ","Bad",NA,"Great","Okay","Okay","Great","Good","Okay","Good","Great","Okay","Okay","Good","Good","Great","Bad","tainan",87,20,31,87,34,93
"88",3.15,71,"Good","Good","Okay","2,920 ",63,"Great",65,NA,28,"Great","Great","Great","Good","High","Great","Good","2,225 ","Okay",NA,"Great","Okay","Okay",NA,"Bad","Good","Okay","Great","Good","Good","Good","Great","Great","Okay","tenerife",88,29,21,70,21,70
"89",3.15,70,"Good","Okay","Good","1,840 ",86,"Great",93,70,103,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",NA,"Great","Okay","Bad","Great","Bad","Great","Bad","Great","Good","Great","Good","Okay","Great","Bad","sao-paulo",89,30,27,81,33,91
"90",3.14,73,"Good","Okay","Okay","1,884 ",98,"Bad",37,37,31,"Good","Great","Good","Bad","High","Great","Good","787 ","Bad",8,"Great","Good","Okay",NA,"Okay","Good","Bad","Great","Bad","Okay","Good","Okay","Bad","Okay","bucharest",90,27,27,81,27,81
"91",3.13,80,"Okay","Okay","Okay","1,187 ",23,"Okay",24,488,143,"Good","Good","Good","Okay","Low","Very bad","Good","142 ","Good",11,"Okay","Bad","Bad","Great","Bad","Okay","Bad","Great","Bad","Good","Okay","Bad","Bad","Okay","delhi",91,20,35,95,34,93
"92",3.1,75,"Okay","Okay","Okay","1,586 ",52,"Okay",86,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",3,"Great","Okay","Bad","Good","Bad","Bad","Okay","Great","Okay","Great","Good","Bad","Great","Bad","brasilia",92,25,26,79,29,84
"93",3.08,75,"Good","Okay","Okay","2,443 ",29,"Okay",76,159,34,"Great","Great","Great",NA,"High","Great",NA,"1,374 ","Okay",NA,"Great","Good","Okay","Great","Good","Okay","Bad","Great","Bad","Okay","Great","Good","Bad","Okay","bratislava",93,25,11,53,10,50
